1641,1452,0
1641,7980,9
1641,6079,5
1641,1992,0
1641,2329,4
8934,6711,7
8934,2054,8
8934,6874,2
257,9549,3
257,510,6
257,194,0
257,4895,8
257,5975,8
257,8607,0
257,920,8
3255,8228,9
3255,3514,2
3255,2445,0
3255,3377,0
3255,7297,7
3255,2431,6
3255,1648,4
3255,2018,1
3435,8466,3
3435,9987,3
3435,2100,0
3435,2113,3
3435,6711,7
3435,6711,0
3435,4232,7
3435,3377,9
3435,5475,3
7952,9484,5
7952,7438,2
7952,2979,5
7952,6711,1
7952,6874,1
2323,5232,1
2323,282,5
2323,3975,9
2323,1992,1
2323,9903,0
2323,4774,5
2323,3667,3
8772,6874,1
8772,701,1
7583,2979,8
7583,7569,8
8976,1968,8
8976,895,1
8976,9564,0
8976,960,2
8976,2329,6
8976,2746,5
8976,690,1
8976,6081,0
8976,9196,8
7674,1452,0
7674,9484,0
7674,4766,8
7674,3912,9
7674,2018,0
4898,972,5
4898,2018,7
4898,3446,4
4898,4774,5
4898,8607,5
4898,8435,4
4898,701,5
3245,3561,8
3245,282,9
3245,6079,2
3245,4393,8
3245,4774,4
3245,690,4
3245,960,4
3245,194,0
3935,3760,3
59,7569,3
6531,1452,5
6531,1648,3
6531,7297,0
6531,2431,2
4272,6711,7
4272,1452,8
4272,4623,0
4272,9185,5
4272,1842,5
4272,2329,8
4272,3649,6
4272,2403,7
4272,4774,7
5297,1665,5
5297,4232,0
5297,9549,0
5297,3760,5
5297,9196,4
5297,3760,4
5297,9115,1
5297,6711,4
5297,8466,1
9697,7751,0
9697,7751,7
9697,3975,2
9697,5005,3
8547,9564,6
8547,194,0
8547,1431,6
8547,6566,5
8547,2601,8
8547,2964,4
4483,895,7
6876,9185,1
6876,1665,6
6876,1665,2
6876,1431,8
870,2459,5
5297,8809,7
5297,4232,7
3939,2403,0
3939,4895,8
3939,5005,8
3939,8809,5
3939,1992,4
3939,7980,1
5118,1968,8
5118,4232,0
5118,9903,0
5118,1467,5
5118,2018,2
5118,960,1
5118,9185,7
5344,9903,0
5344,3448,8
5344,9077,8
5344,895,4
5344,8555,3
5344,194,9
1097,3377,8
1097,3448,0
1097,7751,4
1097,7751,7
4367,3760,1
4367,701,3
4367,3975,8
4367,5509,7
4367,690,8
4367,7751,8
4367,9903,0
4367,2054,2
4367,2459,2
237,282,1
237,3667,3
237,8555,6
237,1467,6
237,9549,0
237,4623,2
237,1431,5
237,4623,5
237,3448,2
1182,6566,3
1182,7438,0
1182,9525,4
1182,4895,2
1182,8061,5
1182,1114,5
7633,8466,0
7633,5273,8
7633,2113,5
7633,7112,3
7633,2979,8
7633,8809,5
6934,5975,3
6934,1648,5
6934,9484,1
6934,8555,3
6934,5232,8
6934,3446,6
6934,4232,1
6934,2431,5
9359,1901,6
9359,9012,4
9359,5232,3
9359,4766,2
9359,5475,0
9162,234,7
9162,8061,9
9162,8089,6
9162,3975,0
9162,2431,2
6953,4393,9
6953,1452,9
6953,2736,4
6953,4623,3
6953,7980,6
6953,7980,4
8270,5509,7
730,2459,6
730,2018,6
730,3209,5
730,282,9
730,9196,7
730,8555,7
730,4216,7
730,1403,5
8519,2431,3
8519,9077,6
8519,7751,9
8519,2378,1
8519,7980,5
8519,690,6
8519,895,8
8519,4774,6
8519,2403,2
2740,3912,2
2740,510,4
2740,7828,3
2740,5005,4
2740,3561,4
2740,2459,9
5199,972,9
5199,1665,3
5199,5005,1
5199,3448,3
7589,2601,5
7589,3649,2
7589,4774,1
7589,2964,0
