520105,8931,9
520105,1989,3
520105,4719,1
520105,6207,7
520105,3261,4
520105,3005,3
520105,2117,4
3500,9938,6
3500,4721,0
3500,9186,8
3500,7875,2
3500,9459,5
3500,4769,2
3500,982,0
3500,8076,8
3500,5392,2
3500,8234,3
3500,2623,7
3500,286,9
3500,6628,3
3500,9114,5
3500,8540,0
3500,8319,3
3500,3579,3
3500,1264,5
3500,9789,1
3500,7151,6
3500,1612,2
3500,911,9
3500,2092,0
3500,2251,5
3500,1818,6
3500,6969,3
3500,3228,0
3500,9431,8
3500,2766,5
3500,8671,3
3500,2561,9
734500,1740,2
734500,3452,8
734500,739,0
734500,4790,5
734500,5584,0
734500,7075,6
734500,2625,7
734500,8772,1
734500,8980,7
734500,2339,4
734500,980,4
734500,4055,9
734500,2391,6
734500,4377,8
945996,3312,7
945996,1825,2
945996,6052,7
945996,59,9
945996,3125,2
945996,9609,8
945996,8749,7
945996,9091,1
945996,5319,0
945996,3945,9
614783,3594,2
614783,2582,9
614783,796,1
614783,9992,7
614783,5532,8
614783,9101,5
614783,9576,2
614783,5584,3
614783,1367,0
614783,3417,4
614783,6186,7
614783,6137,8
614783,6428,6
614783,5631,9
614783,4789,3
614783,4124,5
614783,4842,0
614783,3830,2
614783,5562,6
614783,9573,4
614783,4402,7
614783,9289,5
614783,9451,4
614783,8676,9
614783,5362,4
614783,7019,4
614783,2163,0
614783,3812,5
614783,4562,4
614783,2689,1
614783,8656,3
614783,9223,7
614783,4383,9
614783,2370,7
614783,9289,2
614783,6503,1
614783,6491,8
614783,6574,9
408762,8099,9
408762,7340,7
408762,5952,1
408762,2514,1
408762,3495,9
408762,9169,9
408762,5385,0
408762,4227,1
408762,5927,5
408762,9651,1
408762,5288,7
408762,8080,2
408762,9818,4
408762,3817,9
408762,4032,2
133881,5108,2
133881,6369,8
133881,1264,2
133881,2815,3
133881,871,5
133881,1067,9
133881,3969,3
133881,1321,3
133881,3264,3
133881,7956,8
133881,2726,6
133881,4796,4
133881,1085,7
133881,1412,1
133881,9138,2
133881,7560,4
133881,8491,4
133881,6592,5
133881,1906,8
133881,2311,0
133881,7391,8
133881,7872,3
133881,7742,5
133881,7760,6
133881,7927,0
133881,7241,4
133881,9275,5
133881,5510,5
133881,7219,3
133881,1369,7
133881,6018,2
133881,4617,2
133881,3188,0
133881,6592,5
133881,5976,7
133881,3773,6
133881,1721,1
133881,269,3
133881,5727,9
133881,7086,9
